time,open,high,low,close
1740498000,87046.13,87195.41,86794,86992.59
1740498300,86992.59,87255,86919.01,87076.19
1740498600,87076.43,87781.4,86988.39,87635.01
1740498900,87635,87635.74,87167.33,87231.26
1740499200,87231.63,87320.76,86757.22,86898.99
1740499500,86898.99,87086.61,86741.33,86919.83
1740499800,86919.84,87285.72,86805.07,87102.98
1740500100,87102.98,87160.31,86671,86802.01
1740500400,86802.02,86941.78,86550,86641.51
1740500700,86641.51,86641.51,86305.34,86388
1740501000,86388,86533.75,86157.69,86363.48
1740501300,86363.47,86888,86161.81,86835.66
1740501600,86835.65,87312.5,86805.13,87278.01
1740501900,87278.01,87585.91,87222,87368.84
1740502200,87368.84,87770.01,87365.23,87606.14
1740502500,87606.13,87777,87445.43,87460
1740502800,87459.99,87677.21,87380.95,87426.25
1740503100,87426.25,87456.72,87107.4,87311
1740503400,87310.99,87720.79,87300.46,87494.96
1740503700,87494.96,87571.66,87121.23,87145.1
1740504000,87145.09,87260.87,86831.52,87184.63
1740504300,87184.63,87539.69,87119.81,87521.09
1740504600,87521.09,87805.4,87477.26,87628
1740504900,87628,87640.69,87320.75,87357.98
1740505200,87357.99,87470.49,87117.64,87126.01
1740505500,87126.02,87167.34,86842.11,87046
1740505800,87046.01,87190.47,86931.87,87037.52
1740506100,87037.53,87283.02,87037.53,87259.99
1740506400,87259.99,87521.74,87188,87498.33
1740506700,87498.33,87791.56,87407.76,87433.97
1740507000,87433.96,87542.3,87296,87392.62
1740507300,87392.62,87471.7,87056.6,87090.55
1740507600,87090.55,87358.5,87044.65,87244.12
1740507900,87244.12,87244.12,86918.41,86943.4
1740508200,86943.4,87125.75,86925.8,87059.47
1740508500,87059.48,87438.74,87026.65,87438.73
1740508800,87438.74,87607.51,87285.71,87509.43
1740509100,87509.44,87626.16,87136.37,87225.5
1740509400,87225.5,87299.82,86995.86,87191.32
1740509700,87191.31,87218.91,87010.45,87070.07
1740510000,87070.07,87270.29,86981.13,87229.02
1740510300,87229.02,87308,87132.07,87239.53
1740510600,87239.53,87299.92,86690.01,86716.98
1740510900,86716.98,86893.99,86508.76,86826.13
1740511200,86826.13,86855.2,86569.92,86716.34
1740511500,86716.35,86948,86662.88,86898.57
1740511800,86898.57,87130.44,86811.72,87013.36
1740512100,87013.36,87260,86924.02,87182.89
1740512400,87182.89,87441.47,87177.66,87279.99
1740512700,87280,87688.7,87169.81,87607.17
1740513000,87607.17,87764,87521.73,87672
1740513300,87672,88065.45,87660.39,87947.25
1740513600,87947.24,87998.08,87622.64,87777.99
1740513900,87777.99,88091.51,87777.98,87919.35
1740514200,87919.34,87972.77,87674.4,87834.6
1740514500,87834.61,88171.04,87734.82,88072
1740514800,88071.97,88626,87967.22,88592.01
1740515100,88592,88818.33,88565.21,88680.59
1740515400,88680.59,88971.42,88568.33,88952.25
1740515700,88952.25,89013.66,88528.31,88549.88
1740516000,88549.87,88580,88176.47,88258.47
1740516300,88258.48,88499,88145.94,88263.99
1740516600,88263.99,88395,88043.47,88127.57
1740516900,88127.57,88300.96,87858.59,88161.03
1740517200,88161.03,88497.31,88113.2,88344.76
1740517500,88344.76,88344.76,87830.74,87963.11
1740517800,87963.11,87973.26,87761.9,87947.31
1740518100,87947.32,88068.01,87875.85,88050.49
1740518400,88050.49,88313.52,88032.64,88216.95
1740518700,88216.96,88390.7,88214.31,88301.89
1740519000,88301.89,88301.89,88188.67,88255.18
1740519300,88255.18,88255.18,88062.5,88190.01
1740519600,88190.01,88454.55,88190.01,88446.02
1740519900,88446.02,88731.29,88446.02,88517.91
1740520200,88517.91,88776,88466.86,88754.4
1740520500,88754.4,88833.33,88653.51,88821
1740520800,88821.01,89217.4,88746.93,89204.14
1740521100,89204.15,89460.17,89162.12,89339.06
1740521400,89339.05,89339.06,88918.59,88987.38
1740521700,88987.38,89133.31,88932.12,88989.73
1740522000,88989.73,89003.2,88775.47,88918
1740522300,88918,89037.06,88812.89,88841.58
1740522600,88841.58,89030,88838.32,88999.97
1740522900,88999.96,89050.32,88572.09,88657.24
1740523200,88657.24,88783.32,88624.49,88648.61
1740523500,88648.62,88845.56,88512.34,88844.85
1740523800,88844.84,88847.83,88736.75,88812.43
1740524100,88812.43,88890.35,88788.63,88807.64
1740524400,88807.64,88952,88679.24,88930.25
1740524700,88930.24,89101.43,88905.66,89026.72
1740525000,89026.72,89120.01,88995.2,88995.2
1740525300,88995.2,89088.51,88981.13,89077.64
1740525600,89077.64,89139.75,89010.55,89056.61
1740525900,89056.6,89076,88956.52,89048.69
1740526200,89048.69,89071.64,88904.76,88936.27
1740526500,88936.28,88936.28,88728.1,88762.02
1740526800,88762.01,88865.99,88687.66,88756.5
1740527100,88756.7,88872,88679.24,88836.65
1740527400,88836.64,88875.64,88792.45,88792.45
1740527700,88792.46,88867.93,88675.14,88680.4
1740528000,88680.39,88690,88534.14,88552.87
1740528300,88552.87,88603.78,88518,88518.01
1740528600,88518.02,88534.85,88428.57,88489.43
1740528900,88489.43,88579.38,88311.45,88311.45
1740529200,88311.46,88410.58,88264.15,88409.71
1740529500,88409.71,88526.54,88392.74,88470.02
1740529800,88470.01,88507.01,88304.34,88362.17
1740530100,88362.17,88414.34,88200,88242.96
1740530400,88242.95,88298,88163.06,88204.18
1740530700,88204.18,88229.99,88148.97,88150
